code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
SSE.ETF.510300,SHORT,201801151440,4241.2,201801160940,4226.8,1,14.4,22,-1.4,-55.6,entershort,exitshort,475,481
SSE.ETF.510300,LONG,201801160945,4230,201801160950,4226.4,1,-3.6,3.8,-4.6,-59.2,enterlong,exitlong,482,483
SSE.ETF.510300,LONG,201801160955,4232,201801161030,4239.8,1,7.8,12,-1,-51.4,enterlong,exitlong,484,491
SSE.ETF.510300,SHORT,201801161035,4236.8,201801161040,4239.4,1,-2.6,0.8,-4,-54,entershort,exitshort,492,493
SSE.ETF.510300,LONG,201801161045,4242.4,201801161125,4255.6,1,13.2,22,-2.8,-40.8,enterlong,exitlong,494,502
SSE.ETF.510300,SHORT,201801161130,4252.4,201801161325,4257,1,-4.6,1.2,-7.6,-45.4,entershort,exitshort,503,508
SSE.ETF.510300,LONG,201801161330,4261.8,201801161350,4258.4,1,-3.4,3.2,-6.8,-48.8,enterlong,exitlong,509,513
SSE.ETF.510300,SHORT,201801161355,4247.2,201801161400,4249.6,1,-2.4,1.4,-6,-51.2,entershort,exitshort,514,515
SSE.ETF.510300,SHORT,201801161405,4244.2,201801161410,4239.6,1,4.6,5.4,-5.6,-46.6,entershort,exitshort,516,517
SSE.ETF.510300,SHORT,201801161415,4238.6,201801161420,4244.2,1,-5.6,0.4,-9,-52.2,entershort,exitshort,518,519
SSE.ETF.510300,LONG,201801161425,4245.8,201801161440,4243.6,1,-2.2,5.2,-6.8,-54.4,enterlong,exitlong,520,523
SSE.ETF.510300,LONG,201801161445,4246.6,201801170940,4274,1,27.4,29.4,-0.6,-27,enterlong,exitlong,524,529
SSE.ETF.510300,LONG,201801170945,4277.4,201801170950,4271.2,1,-6.2,0.4,-8.6,-33.2,enterlong,exitlong,530,531
SSE.ETF.510300,SHORT,201801170955,4258.6,201801171005,4261.2,1,-2.6,7.4,-4.4,-35.8,entershort,exitshort,532,534
SSE.ETF.510300,LONG,201801171010,4266.8,201801171020,4277,1,10.2,17.2,-0.4,-25.6,enterlong,exitlong,535,537
SSE.ETF.510300,SHORT,201801171025,4274,201801171030,4277.4,1,-3.4,3.2,-6,-29,entershort,exitshort,538,539
SSE.ETF.510300,SHORT,201801171035,4266.8,201801171050,4274,1,-7.2,3.2,-8.6,-36.2,entershort,exitshort,540,543
