code,target,sigprice,gentime,usertag
SSE.ETF.510300,0,3232.8,20181106141000000,exitlong
SSE.ETF.510300,-1,3234.2,20181106141500000,entershort
SSE.ETF.510300,0,3237,20181106142000000,exitshort
SSE.ETF.510300,-1,3231,20181106142500000,entershort
SSE.ETF.510300,0,3234.2,20181106143000000,exitshort
SSE.ETF.510300,1,3238.8,20181106143500000,enterlong
SSE.ETF.510300,0,3242.4,20181106144500000,exitlong
SSE.ETF.510300,1,3247.4,20181106145000000,enterlong
SSE.ETF.510300,0,3242,20181107093500000,exitlong
SSE.ETF.510300,-1,3236.4,20181107094000000,entershort
SSE.ETF.510300,0,3247.8,20181107095000000,exitshort
SSE.ETF.510300,1,3253,20181107095500000,enterlong
SSE.ETF.510300,0,3252.2,20181107100500000,exitlong
